Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
27/04/2010,28,31,29,81,0,2,3,360,2,0
28/04/2010,25,31,28,84,14,6,3,315,4,0
29/04/2010,27,32,28,82,0,5,3,315,2,0
30/04/2010,27,33,29,77,0,6,4,90,3,90
1/5/2010,27,34,31,66,0,6,4,130,4,45
2/5/2010,25,33,29,78,0,6,3,360,4,45
3/5/2010,25,33,30,74,6,5,3,360,3,90
4/5/2010,28,33,30,69,0,3,4,100,6,90
5/5/2010,27,30,28,84,4,1,4,360,4,315
6/5/2010,25,34,30,70,0,6,4,120,3,45
7/5/2010,28,33,31,70,0,6,4,90,4,90
8/5/2010,27,32,30,73,0,4,3,90,4,90
9/5/2010,25,31,28,83,0,3,2,360,4,0
10/5/2010,26,33,29,79,0,6,4,350,4,315
11/5/2010,26,32,29,78,2,4,4,360,3,315
12/5/2010,26,30,28,86,0,0,4,270,3,315
13/05/2010,26,32,28,80,21,3,3,50,2,135
14/05/2010,25,33,29,77,0,4,2,100,3,90
15/05/2010,25,31,28,83,0,3,2,360,3,0
16/05/2010,27,32,28,87,20,4,5,300,3,0
17/05/2010,25,31,28,81,0,1,5,320,3,315
18/05/2010,25,32,29,82,61,6,4,350,3,0
19/05/2010,28,32,30,82,0,5,3,350,3,135
20/05/2010,26,34,29,82,0,4,3,270,3,135
21/05/2010,26,33,28,81,20,4,3,330,3,315
22/05/2010,26,32,28,85,1,2,3,350,2,315
23/05/2010,25,32,28,83,42,5,4,360,2,315
24/05/2010,26,33,29,78,38,5,3,100,3,315
25/05/2010,26,33,29,78,0,5,3,40,2,270
26/05/2010,26,32,28,80,0,5,4,90,4,315
27/05/2010,25,33,28,78,40,4,5,90,4,90
28/05/2010,25,33,28,78,0,6,5,90,3,90
29/05/2010,26,33,29,78,0,6,4,360,4,90
30/05/2010,25,33,28,79,0,6,6,120,3,135
31/05/2010,26,33,29,82,2,6,3,90,3,90
1/6/2010,26,34,29,78,13,7,3,90,3,90
2/6/2010,26,32,29,80,0,8,3,350,3,315
3/6/2010,27,34,29,78,0,7,4,360,3,90
4/6/2010,27,32,29,77,0,3,5,90,3,90
